ㅈ시가,고가,저가,종가,거래량,거래대금,등락률
11970,11970,11000,11960,1619,18200260,-0.08
1702,1702,1598,1690,22428,37153463,-0.82
1799,1799,1502,1640,62,106936,0.06
30300,30700,29900,30200,6717,202290050,1.34
0,0,0,4500,0,0,0.0
1000,1002,1000,1002,304,304002,2.14
6610,6610,5410,5800,4788,26801580,0.69
13410,13500,12510,13330,350,4483930,-0.6
0,0,0,25000,0,0,0.0
3365,3365,3105,3340,403,1266785,1.37
58,58,50,51,471464,24403422,-12.07
5100,5100,4685,4885,194,947705,3.5
0,0,0,4990,0,0,0.0
2805,3480,2805,3480,3,9090,11.72
0,0,0,20500,0,0,0.0
0,0,0,10000,0,0,0.0
2790,2790,2455,2780,5,13595,0.0
1309,1309,1309,1309,1,1309,-13.02
13510,13510,13510,13510,10,135100,-9.93
5200,5200,5200,5200,1,5200,0.39
0,0,0,904,0,0,0.0
5500,5800,5490,5490,679,3736820,-6.95
0,0,0,4010,0,0,0.0
9900,9900,9100,9800,159,1453040,5.38
1318,1318,1318,1318,8,10544,-14.97
8200,8600,8010,8600,16,134010,2.38
0,0,0,799,0,0,0.0
470,530,468,530,12,5698,-3.64
4845,4845,4640,4780,1499,7089495,-1.34
1890,1890,1699,1739,7,12124,2.29
2385,2385,2110,2295,590,1281445,2.0
11000,11200,10800,11040,864,9375900,0.45
0,0,0,13990,0,0,-0.07
3895,3895,3400,3430,2059,7348565,-11.48
2990,2990,2400,2685,203,545075,0.94
1300,1400,1300,1400,11,14400,7.69
0,0,0,5900,0,0,0.0
0,0,0,6990,0,0,-0.57
429,492,367,470,963,436416,9.81
3895,3895,3040,3040,1597,4930105,-14.97
1200,1320,1200,1308,1003,1323147,-1.51
135,135,116,130,377,43883,-3.7
0,0,0,2135,0,0,0.0
9810,11470,9810,11470,2,21280,0.17
2500,2600,2400,2500,365,911600,0.0
849,849,710,780,12,8729,-5.91
999,999,999,999,35,34965,-0.1
2985,2990,2920,2980,1822,5397505,-0.33
811,950,811,950,16,15061,0.0
2590,2590,2590,2590,1,2590,-14.94
3700,3995,3700,3995,2,7695,0.25
2090,2390,2000,2390,609,1296210,14.08
1698,1698,1500,1697,13,21875,-0.06
0,0,0,3050,0,0,0.0
7090,7990,6950,7000,1223,8556450,-1.27
4095,4095,3915,4090,210,823225,-4.66
7990,7990,7990,7990,1,7990,3.77
549,549,512,529,1881,995619,-0.19
4500,4500,4085,4100,3500,14567105,-2.38
7190,7400,7110,7400,280,2037020,2.92
3540,3540,3540,3540,1,3540,14.38
3125,3390,3110,3390,11006,34944210,2.73
3725,3725,3655,3655,1360,4993445,-14.9
826,826,723,800,4156,3270917,2.56
0,0,0,1800,0,0,0.0
496,496,378,399,167,66709,-10.14
551,650,535,650,7712,4377742,3.34
10490,10490,9950,10140,759,7670460,-1.36
1500,1500,1499,1499,2,2999,7.15
16970,17000,16800,16970,6631,112521850,-0.06
6610,6610,6610,6610,1,6610,-4.2
11990,13490,11990,13490,21,258480,12.51
8990,8990,8790,8950,1882,16672820,0.9
502,502,458,458,1521,728137,-7.66
5470,5470,5470,5470,1,5470,-13.04
0,0,0,1785,0,0,-14.8
550,550,547,547,570,313397,-7.76
9350,9350,9350,9350,3708,34669800,-15.0
1255,1305,1226,1305,22592,28562233,3.9
1600,1699,1500,1699,807,1291397,0.0
897,897,884,884,502,448281,12.18
18230,18410,17810,18150,492,8840570,-0.44
3200,3200,3100,3170,12244,38036535,-1.09
3625,4895,3625,4760,199670,806776830,11.74
5560,6380,5560,5560,1005,5588630,-14.98
7910,7910,7910,7910,1,7910,-14.85
800,800,800,800,1,800,4.58
4210,4490,4210,4320,4162,17944380,-3.57
9200,9400,9070,9220,757,6959170,0.44
1900,1900,1700,1900,23,43500,0.53
0,0,0,2795,0,0,0.0
0,0,0,2695,0,0,0.0
4400,4445,4345,4400,8950,39297040,0.34
507,507,507,507,208,105456,-14.93
4200,4200,3950,4200,1106,4369450,0.24
4100,4100,3800,4100,3,12000,0.0
519,519,436,494,2403,1053829,-2.56
0,0,0,22000,0,0,0.0
14500,15300,14500,15300,729,11116950,0.07
8000,8000,7780,7890,1934,15206690,-0.5
1865,1865,1865,1865,1,1865,-14.84
9420,9780,9280,9780,2932,27688940,3.16
0,0,0,19600,0,0,0.0
5900,5900,4430,4430,80,357120,-14.81
0,0,0,1099,0,0,-0.09
1200,1300,1077,1199,1725,1875419,0.76
10900,10900,9800,10900,527,5537720,1.96
9500,9500,7260,7260,3,25640,-14.69
1700,1797,1600,1797,66,117304,-0.11
6200,6270,5750,6130,1591,9321990,-0.16
8990,9000,8000,8790,2660,23100880,3.29
0,0,0,4025,0,0,-1.71
1261,1685,1261,1600,520,666612,7.89
502,502,502,502,115,57730,-14.92
726,726,611,726,3,2063,5.22
4245,4245,3185,3895,3,11325,4.01
3250,3450,3100,3360,3418,11282550,-0.88
21000,21650,20000,21650,4,84300,6.65
867,867,672,863,57,41797,9.38
800,800,724,749,8496,6206917,2.74
7600,7800,7050,7300,22532,161139710,-6.41
7760,8000,7720,7970,916,7183480,-0.13
4715,5420,4010,4010,14764,66687515,-14.95
5990,5990,5600,5930,3,17520,0.68
0,0,0,994,0,0,0.0
0,0,0,15500,0,0,0.0
11060,12610,11060,12610,90,1010900,-2.85
18500,18500,17700,18100,798,14192610,-0.44
3540,3540,3020,3225,846,2720505,0.0
