티커,시가,고가,저가,종가,거래량,거래대금,등락률
278990,11500,11500,11010,11490,387,4299990,-3.93
343090,1707,1707,1610,1664,4126,6658559,-1.54
112190,1748,1748,1517,1630,99,161105,-0.61
260870,30000,30500,29450,30000,6213,185491700,-0.66
296520,0,0,0,4500,0,0,0.0
183410,1100,1100,1006,1100,9,9242,9.78
076340,6160,6160,5430,5430,602,3269640,-6.38
243870,13490,13500,13490,13500,71,957800,1.28
456700,0,0,0,25000,0,0,0.0
244880,0,0,0,3330,0,0,-0.3
288490,54,57,50,54,157626,8430936,5.88
257990,4600,5060,4600,5060,116,536985,3.58
317860,5700,5700,5700,5700,1,5700,14.23
283100,2960,3300,2960,3300,5397,16074380,-5.17
229500,0,0,0,20500,0,0,0.0
323350,0,0,0,10000,0,0,0.0
178600,2830,2830,2830,2830,2,5660,1.8
114920,1505,1505,1505,1505,11,16555,14.97
302920,13500,13500,12510,12510,17,214150,-7.4
199150,5200,5200,5200,5200,20,104000,0.0
227420,0,0,0,904,0,0,0.0
176750,5640,5640,5640,5640,1,5640,2.73
163430,0,0,0,4010,0,0,0.0
403360,11200,11200,9930,9930,11,110500,1.33
092590,1298,1298,1298,1298,1,1298,-1.52
179720,8400,8600,7400,8600,136,1080560,0.0
238500,0,0,0,799,0,0,0.0
223220,451,451,451,451,2,902,-14.91
162120,4630,4890,4630,4745,972,4571085,-0.73
253610,1729,1729,1500,1700,3,4929,-2.24
448780,2280,2280,2100,2275,530,1115665,-0.87
200580,11000,11100,11000,11100,213,2354300,0.54
233250,0,0,0,13990,0,0,0.0
236340,3430,3700,3400,3695,447,1617325,7.73
322970,2670,2670,2670,2670,100,267000,-0.56
208890,1200,1400,1200,1299,12,14699,-7.21
351020,0,0,0,5900,0,0,0.0
354390,7040,7040,6110,7000,3,20150,0.14
266470,539,539,400,430,15243,6440319,-8.51
289170,3040,3490,3040,3065,2681,8466785,0.82
199290,1202,1303,1202,1303,14,17558,-0.38
322190,124,124,111,124,3349,374375,-4.62
206950,0,0,0,2135,0,0,0.0
191600,0,0,0,11470,0,0,0.0
086220,2400,2500,2300,2500,336,803600,0.0
266170,770,770,663,770,14,10673,-1.28
